,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
56,kucoin-token,57,KCS,KuCoin Token,96794195.45697574,170118638.0,608358975.8340318,1325895.508249731,6.285077043741147,-3.2501347039201263,6.360511787556855,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
57,injective-protocol,58,INJ,Injective,73005554.33,100000000.0,574965662.7999437,27123521.074920837,7.875642724401237,-7.135080236693201,8.04540100332144,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
58,kava,59,KAVA,Kava,613802163.0,,574140369.0767399,23139978.351089828,0.935383424311491,-5.030725257069536,0.9456218750113341,https://www.mintscan.io/kava
59,conflux-network,60,CFX,Conflux,3068323210.7095313,,564474901.4517756,24836829.683371417,0.1839685270057466,-5.630960001079008,0.1869618576906512,http://www.confluxscan.io/
60,chiliz,61,CHZ,Chiliz,7024695758.022483,8888888888.0,530730194.29705274,10453717.074923819,0.075552054149952,-4.246120305201786,0.0759907787099017,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
61,klaytn,62,KLAY,Klaytn,3135246001.060865,,530323931.2348597,3275154.7055127337,0.169149065513652,-3.403794306174188,0.1697945302737034,https://scope.klaytn.com/blocks
62,gala,63,GALA,Gala,21624341072.93942,50000000000.0,508492091.3769633,17069185.73282971,0.0235148016608602,-5.028446679203447,0.0239009703745558,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
63,zcash,64,ZEC,Zcash,16328268.75,21000000.0,508100652.40623844,11555272.805051696,31.11785212417198,-5.417108128554643,31.459319403747873,https://explorer.zcha.in/
64,iota,65,MIOTA,IOTA,2779530283.0,2779530283.0,504215123.7548019,1781763.7128162368,0.181402997059846,-3.3254651720041073,0.1822602116913357,https://thetangle.org/
65,synthetix-network-token,66,SNX,Synthetix,233716733.49,212424133.0,487200713.1084268,10814774.399140708,2.084577795664223,-3.5819160996447668,2.0971017077882106,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
66,ftx-token,67,FTT,FTX Token,328895103.813207,352170015.0,470448038.2309817,7643803.079810064,1.4303893027795525,-7.97823340888007,1.4863562878357426,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
67,frax-share,68,FXS,Frax Share,72754565.1588627,,457607334.1257845,1162126.0698988498,6.28974048743992,-7.982032607660123,6.6633571141969075,https://etherscan.io/token/0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
68,dash,69,DASH,Dash,11355894.90172072,18900000.0,451166408.1236925,26417349.759411234,39.72970972594408,-3.024528683614744,38.90323038885982,https://explorer.dash.org
69,compound,70,COMP,Compound,7750650.85868624,10000000.0,440608852.4322382,46247209.94973949,56.847980958714324,-8.267418258774972,58.49822998745709,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
70,huobi-token,71,HT,Huobi Token,162233844.0,500000000.0,438261565.73591536,9995217.493271537,2.701418858915254,-0.8221166001644321,2.7118816993231647,https://etherscan.io/token/0x6f259637dcd74c767781e37bc6133cd6a68aa161
71,mina,72,MINA,Mina,929369491.8400393,,421004409.34687907,6322781.1885104235,0.4530000317885852,-8.201316901280896,0.4648326781936501,https://minaexplorer.com/
72,casper,73,CSPR,Casper,11153798843.0,,418946582.62411404,1395897.2430955784,0.0375608874179258,-2.28136773914068,0.0375778551696629,https://casperstats.io/
73,gatetoken,74,GT,GateToken,97701517.3929322,,414654607.7419723,572481.7056164148,4.244095883120529,-2.032464978644033,4.270243501073256,
74,xinfin-network,75,XDC,XinFin Network,12293293518.55,,403809314.95782465,1072804.8427442973,0.0328479356934328,4.291657606367247,0.0317320864057142,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
75,fei-protocol,76,FEI,Fei Protocol,424996177.78890556,,397024324.46012527,1421375.1872185383,0.9341832826019583,4.667213443366562,0.9846105857188031,https://etherscan.io/token/0x956F47F50A910163D8BF957Cf5846D573E7f87CA
76,wootrade,77,WOO,WOO Network,1716103209.3639963,,379143441.2092123,2656781.0690707504,0.2209327732390445,-8.133597090499261,0.2232884844389415,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
77,trust-wallet-token,78,TWT,Trust Wallet Token,416649900.0,1000000000.0,354675633.1536731,1900796.4724454628,0.8512557741011653,-2.1705870818693347,0.8663053979447205,https://explorer.binance.org/asset/TWT-8C2
78,nexo,79,NEXO,Nexo,560000011.0,1000000000.0,348455878.61616427,443919.94668016164,0.6222426281633846,-1.0735131992414422,0.6304171166631997,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
79,thorchain,80,RUNE,THORChain,333904557.0,500000000.0,334083301.502506,5541521.7339627445,1.000535316151753,-5.028849345284166,1.0166191391857775,https://explorer.binance.org/asset/RUNE-B1A
